Date;Time;Type operation;Source Data;Result
20.10.2022;22:36:52;+;2, 5;10
20.10.2022;22:37:13;+;2, 5;10
20.10.2022;22:37:31;выполняется операция деления;аргументы: (4.0, 2.0);результат: 2.0
20.10.2022;22:38:05;возникла ошибка;в операции деления;ошибка could not convert string to float: 'd'
20.10.2022;22:38:21;возникла ошибка;в операции сложения;ошибка could not convert string to float: 'sd'
20.10.2022;22:38:38;выполняется операция сложения;аргументы: (2.0, 2.0);результат: 4.0
20.10.2022;23:14:22;+;2, 5;10
20.10.2022;23:14:46;выполняется операция сложения;аргументы: (5.0, 4.0);результат: 9.0
20.10.2022;23:15:01;возникла ошибка;в операции целочисленного деления;ошибка could not convert string to float: 'ывап'
20.10.2022;23:15:12;+;2, 5;10
20.10.2022;23:15:28;выполняется операция сложения;аргументы: ((4+4j), (4+4j));результат: (8+8j)
20.10.2022;23:15:51;выполняется операция сложения;аргументы: (4.0, 4.0);результат: 8.0
20.10.2022;23:16:49;выполняется операция умножения;аргументы: ((3+4j), (5+6j));результат: (-9+38j)
21.10.2022;07:36:26;+;2, 5;10
21.10.2022;07:40:12;+;2, 5;10
21.10.2022;07:43:56;+;2, 5;10
21.10.2022;07:44:55;+;2, 5;10
21.10.2022;07:45:42;+;2, 5;10
21.10.2022;07:47:12;+;2, 5;10
21.10.2022;07:48:05;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;07:49:46;+;2, 5;10
21.10.2022;07:51:28;+;2, 5;10
21.10.2022;07:53:06;+;2, 5;10
21.10.2022;08:14:29;+;2, 5;10
21.10.2022;08:15:22;+;2, 5;10
21.10.2022;08:15:34;+;2, 5;10
21.10.2022;08:15:41;+;2, 5;10
21.10.2022;08:17:51;возникла ошибка;в операции деления;ошибка could not convert string to float: 'dg'
21.10.2022;08:18:17;выполняется операция целочисленного деления;аргументы: (2.0, 2.0);результат: 1.0
21.10.2022;08:20:20;выполняется операция целочисленного деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;08:24:11;+;2, 5;10
21.10.2022;08:24:29;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;08:24:46;+;2, 5;10
21.10.2022;08:25:11;+;2, 5;10
21.10.2022;08:25:30;возникла ошибка;в операции деления;ошибка could not convert string to float: 'uio'
21.10.2022;08:25:38;+;2, 5;10
21.10.2022;08:26:56;+;2, 5;10
21.10.2022;08:28:53;+;2, 5;10
21.10.2022;08:30:59;+;2, 5;10
21.10.2022;08:35:53;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;08:36:55;+;2, 5;10
21.10.2022;08:38:26;+;2, 5;10
21.10.2022;08:41:30;возникла ошибка;в операции деления;ошибка could not convert string to float: 'zdfghdf'
21.10.2022;09:12:36;+;2, 5;10
21.10.2022;09:12:46;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;09:13:02;возникла ошибка;в операции деления;ошибка could not convert string to float: 'sdfg'
21.10.2022;09:14:42;возникла ошибка;в операции деления;ошибка float division by zero
21.10.2022;09:20:09;+;2, 5;10
21.10.2022;09:20:54;+;2, 5;10
21.10.2022;09:22:25;+;2, 5;10
21.10.2022;09:22:29;+;2, 5;10
21.10.2022;09:22:35;+;2, 5;10
21.10.2022;09:22:45;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;09:25:30;+;2, 5;10
21.10.2022;09:26:14;+;2, 5;10
21.10.2022;09:26:23;выполняется операция целочисленного деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;09:33:06;+;2, 5;10
21.10.2022;09:33:13;выполняется операция целочисленного деления;аргументы: (1.0, 1.0);результат: 1
21.10.2022;09:33:22;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;09:33:53;выполняется операция умножения;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;10:48:35;+;2, 5;10
21.10.2022;10:48:50;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;10:48:54;выполняется операция целочисленного деления;аргументы: (2.0, 2.0);результат: 1
21.10.2022;10:49:03;выполняется операция вычисления остатка от деления;аргументы: (2.0, 3.0);результат: 2.0
21.10.2022;10:49:30;выполняется операция вычисления остатка от деления;аргументы: (2.0, 3.0);результат: 2.0
21.10.2022;10:50:39;+;2, 5;10
21.10.2022;10:50:52;выполняется операция возведения в степень;аргументы: (2.0, 8.0);результат: 256.0
21.10.2022;10:56:41;+;2, 5;10
21.10.2022;10:58:10;выполняется операция деления;аргументы: (1.0, 1.0);результат: 1.0
21.10.2022;10:58:17;выполняется операция целочисленного деления;аргументы: (2.0, 2.0);результат: 1
21.10.2022;10:58:28;выполняется операция вычисления остатка от деления;аргументы: (5.0, 4.0);результат: 1.0
21.10.2022;10:59:54;выполняется операция возведения в степень;аргументы: (4.0, 4.0);результат: 256.0
21.10.2022;11:00:03;выполняется операция извлечения квадратного корня;аргументы: 4.0;результат: 2.0
21.10.2022;11:01:19;+;2, 5;10
21.10.2022;11:01:52;+;2, 5;10
21.10.2022;11:03:25;+;2, 5;10
21.10.2022;11:04:15;+;2, 5;10
21.10.2022;11:05:40;возникла ошибка;в выборе пункта меню;ошибка invalid literal for int() with base 10: 'F'
21.10.2022;11:05:47;возникла ошибка;в выборе пункта меню;ошибка invalid literal for int() with base 10: 'dfgh'
21.10.2022;11:05:59;+;2, 5;10
21.10.2022;11:06:08;выполняется операция умножения;аргументы: (4.0, 4.0);результат: 16
21.10.2022;11:06:31;выполняется операция умножения;аргументы: (4.0, 4.0);результат: 16
21.10.2022;11:07:09;выполняется операция умножения;аргументы: (4.1, 4.0);результат: 16.4
21.10.2022;11:08:14;выполняется операция вычитания;аргументы: (5.0, 4.0);результат: 1.0
21.10.2022;11:09:05;выполняется операция сложения;аргументы: (1.0, 1.0);результат: 2.0
21.10.2022;11:13:10;возникла ошибка;в операции извлечения квадратного корня;ошибка math domain error
21.10.2022;11:15:32;выполняется операция возведения в степень;аргументы: (-4.0, 2.0);результат: 16.0
